age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
50-64,55931,2020-07-06,20.1,1053.0,16.6,18.4
65+,35957,2020-07-06,12.9,4916.0,77.3,15.6
Missing,311,2020-07-06,0.1,1.0,0.0,0.0
0-17,23960,2020-07-07,8.3,0.0,0.0,22.5
18-49,170255,2020-07-07,58.8,410.0,6.3,43.5
50-64,58017,2020-07-07,20.0,1069.0,16.5,18.4
65+,36911,2020-07-07,12.8,4995.0,77.1,15.6
Missing,325,2020-07-07,0.1,1.0,0.0,0.0
0-17,24556,2020-07-08,8.3,0.0,0.0,22.5
18-49,174719,2020-07-08,58.9,423.0,6.4,43.5
50-64,59300,2020-07-08,20.0,1101.0,16.6,18.4
65+,37586,2020-07-08,12.7,5096.0,77.0,15.6
Missing,338,2020-07-08,0.1,1.0,0.0,0.0
0-17,25160,2020-07-09,8.3,0.0,0.0,22.5
18-49,179727,2020-07-09,59.1,437.0,6.4,43.5
50-64,60708,2020-07-09,20.0,1148.0,16.9,18.4
65+,38346,2020-07-09,12.6,5201.0,76.6,15.6
Missing,356,2020-07-09,0.1,1.0,0.0,0.0
0-17,25889,2020-07-10,8.3,0.0,0.0,22.5
18-49,184939,2020-07-10,59.2,446.0,6.5,43.5
50-64,62124,2020-07-10,19.9,1170.0,17.0,18.4
65+,39039,2020-07-10,12.5,5276.0,76.6,15.6
Missing,353,2020-07-10,0.1,0.0,0.0,0.0
